project_id,camera_id,camera_name,make,model,serial_number,year_purchased
2004312,2014802,18,,,,
2004585,2014802,18,,,,
2004312,2014803,4,,,,
2004585,2014803,4,,,,
2004312,2014804,15,,,,
2004585,2014804,15,,,,
2004312,2014805,5,,,,
2004585,2014805,5,,,,
2004312,2014806,29,,,,
2004312,2014807,25,,,,
2004585,2014807,25,,,,
2004312,2014808,20,,,,
2004312,2014841,23,Reconyx,RC55 RAPIDFIRE,None,
2004585,2014841,23,Reconyx,RC55 RAPIDFIRE,None,
2004312,2014845,28,RECONYX,PC800 PROFESSIONAL,None,
2004312,2014846,12,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004585,2014846,12,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004312,2014848,31,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004312,2014849,19,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004585,2014849,19,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004312,2014850,22,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004585,2014850,22,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004312,2014851,24,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004585,2014851,24,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004312,2014852,27,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004312,2014858,14,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004585,2014858,14,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004312,2014859,33,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004312,2014863,9,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004585,2014863,9,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004312,2014864,10,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004585,2014864,10,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004312,2014865,6,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004312,2014867,17,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004585,2014867,17,Bushnell,Trophy HD Aggressor No-Glow 20MP,,
2004312,2014869,8,C1000,CUDDEBACK,None,
2004585,2014869,8,C1000,CUDDEBACK,None,
2004312,2014870,2,C1000,CUDDEBACK,None,
2004312,2014873,1,C1000,CUDDEBACK,None,
2004585,2014873,1,C1000,CUDDEBACK,None,
2004312,2014875,13,C1000,CUDDEBACK,None,
2004585,2014875,13,C1000,CUDDEBACK,None,
2004312,2014877,30,C1000,CUDDEBACK,None,
2004312,2014880,21,C1000,CUDDEBACK,None,
2004585,2014880,21,C1000,CUDDEBACK,None,
2004312,2014882,3,C1000,CUDDEBACK,None,
2004585,2014882,3,C1000,CUDDEBACK,None,
2004312,2014883,16,C1000,CUDDEBACK,None,
2004585,2014883,16,C1000,CUDDEBACK,None,
2004312,2014885,32,C1000,CUDDEBACK,None,
2004312,2014887,11,C1000,CUDDEBACK,None,
2004585,2014887,11,C1000,CUDDEBACK,None,
2004312,2014895,26,C1000,CUDDEBACK,None,
2004312,2014900,7,G6.1,CUDDEBACK,None,
2004585,2014900,7,G6.1,CUDDEBACK,None,
2003868,2031773,201,None,None,None,
2003868,2032394,202,RECONYX,PC900 PROFESSIONAL,None,
2003868,2032396,213,RECONYX,PC900 PROFESSIONAL,None,
2003868,2032399,204,RECONYX,PC900 PROFESSIONAL,None,
2003868,2032400,206,RECONYX,PC900 PROFESSIONAL,None,
2003868,2032401,215,RECONYX,PC900 PROFESSIONAL,None,
2003868,2032403,203,RECONYX,PC900 PROFESSIONAL,None,
2003868,2032405,210,RECONYX,PC900 PROFESSIONAL,None,
2003868,2032406,214,RECONYX,PC900 PROFESSIONAL,None,
2003868,2032408,205,RECONYX,PC900 PROFESSIONAL,None,
2003868,2032412,212,RECONYX,PC900 PROFESSIONAL,None,
2003868,2032413,209,RECONYX,PC900 PROFESSIONAL,None,
2003868,2032417,208,RECONYX,PC900 PROFESSIONAL,None,
2003868,2032421,207,RECONYX,PC900 PROFESSIONAL,None,
2004312,2049091,-,Reconyx,PC85 RAPIDFIRE PRO,None,
2004312,2049092,Cam 6,Reconyx,PM75 RAPIDFIRE PRO,None,
2004585,2056755,Dholes1_3,None,None,None,
2004585,2056756,Dholes1_1,None,None,None,
2004585,2056757,Dholes1_9,None,None,None,
2004585,2056758,Dholes3_6,None,None,None,
2004585,2056759,Dholes3_7,None,None,None,
2004585,2056760,Dholes3_4,None,None,None,
2004585,2056761,Dholes3_2,None,None,None,
2004585,2056762,Dholes2_6,None,None,None,
2004585,2056763,Dholes2_5,None,None,None,
2004585,2056764,Dholes3_5,None,None,None,
2004585,2056765,Dholes3_8,None,None,None,
2004585,2056766,Dholes3_1,None,None,None,
2004585,2056767,Dholes3_3,None,None,None,
2008890,2127934,DTL_81,Spartan,Lumen,,
2008890,2129518,DTL_80_test,,,,
2008910,2129519,DTL_80_test,,,,
2008910,2129520,DTL_79,,,,
